Reference	Predection	F1_score
للتأكد من أن الصورة تغطي الشاشة بأكملها	للتأكد من أن الصورة تغطي الشاشة بأكملها	1.0
في بوردينتاون	بوردينتاون	0.6666666666666666
جون هانكوك وأمين السر تشارلز طومسون	جون هانكوك	0.5
في مواقع بطول السياج من الطرف الشمالي لمكان المستعمر	مواقع بطول السياج من الطرف الشمالي لمكان المستعمر	0.9411764705882353
متعددو الأشكال	أحاديو الشكل	0
سالبة	النيوترونات والبروتونات	0
النيوترونات والبروتونات	النيوترونات والبروتونات	1.0
بتّات	1، ويُشار إلى هذه الأرقام على أنها أرقام ثنائية - أو بتّات	0.16666666666666669
فيليكس بلوخ (من جامعة ستانفورد) وإدوارد بورسيل (من جامعة هارفارد)	فيليكس بلوخ (من جامعة ستانفورد) وإدوارد بورسيل	0.8235294117647058
في نهاية العصور الوسطى	نهاية العصور الوسطى	0.8571428571428571
للحروب الصليبية	للحروب الصليبية	1.0
الإسبانية	حرب الخلافة الإسبانية	0.5
حرب الثلاثين عاماً	حرب الثلاثين عاماً	1.0
الطبقة	الأعيرة	0
المواصلات	أنظمة المواصلات	0.6666666666666666
يمكن فقط نقل الطفرات في خلايا الخط الجرثومي إلى الأطفال	نوع الطفرة	0
الضربات	كرات	0
الخضراء	ويُقصّ العشب المحيط بالحفرة	0
تفنيد واحدة أو أكثر من الفرضيات المحتملة	لتفنيد واحدة أو أكثر من الفرضيات المحتملة	0.8571428571428571
آلاف وآلاف السنين	آلاف وآلاف السنين	1.0
الاختلافات التعبيريّةً	تجميعة الاختلافات التعبيريّة	0.4
 الطفرة 	الطفرة	1.0
من خلال استخدام مختلف ورمزي للأسلوب	استخدام مختلف ورمزي للأسلوب الذي يتضمن الملابس، والتكلف، والاصطلاح	0.5333333333333333
لا يحققون نتائج جيدة في المدرسة	الأداء غير الجيد في المدرسة	0.3636363636363636
السياحة الثقافية	السياحة الترفيهية	0.5
استحضار النماذج السابقة للسلوك الريادي والنجاحات الناتجة	قصص النّجاح	0
طول المدة الزمنية التي تكون بين حالات حركة العين السريعة	طول المدة الزمنية التي تكون بين حالات حركة العين السريعة	1.0
العصور الوسطى المبكرة	بالعصور الوسطى العليا	0.3333333333333333
 أواخر العصور الوسطى	بالعصور الوسطى العليا	0.3333333333333333
على أعضاء الحس في جهاز الرؤية	أعضاء الحس في جهاز الرؤية أو العينين	0.7692307692307692
احتياجات الكائن الحي	احتياجات الكائن الحي	1.0
عدة أهرامات (أكبرها الهرم الأكبر) ومقابر صغيرة ومعابد وأبو الهول	عدة أهرامات (أكبرها الهرم الأكبر) ومقابر صغيرة ومعابد وأبو الهول	1.0
تكريم الفرعون خوفو	لتكريم الفرعون خوفو	0.6666666666666666
سترابو	هيروستراتوس	0
 التصدي لهذا الغزو 	التصدي لهذا الغزو	1.0
السرج	لم يكن السرج قد اخترع بعد	0.2857142857142857
على ظهور الخيل	الآشوريون	0
في عام 1922	العصر الحديث	0
اكتشاف قبره	اكتشاف قبره	1.0
 فقد بصره	فقد بصره	1.0
فيثاغورس	هوميروس	0
في الهواء الطلق	الهواء الطلق	0.8
للمنزل	للمنزل	1.0
قبائل الإسكيمو	قبائل الإسكيمو	1.0
الرجال الأغنياء	الرجال الأغنياء	1.0
تنازلت من خلالها عن سيادتها على التايوان لصالح اليابان	تنازلت من خلالها عن سيادتها على التايوان لصالح اليابان التي حكمت الجزيرة حتى عام 1945	0.7499999999999999
من خلال عدد أيونات الهيدروجين (حرف الH في pH) في المادة الكيميائية	من خلال عدد أيونات الهيدروجين (حرف الH في pH) في المادة الكيميائية المُراد اختبارها	0.923076923076923
الإلكترونات	بروتونات منزوعة الإلكترونات	0.5
القطط متوسطة الحجم	القطط متوسطة الحجم	1.0
غرفةٌ صغيرةٌ	غرفةٌ صغيرةٌ	1.0
الشمس	تصنع النباتات طعامها من الشمس	0.33333333333333337
ثاني أكسيد الكربون	ثاني أكسيد الكربون	1.0
الأوردة	الأوردة	1.0
الشعيرات الدموية	الشعيرات الدموية	1.0
الثورة البلجيكية	الثورة البلجيكية	1.0
23،764	23،764	1.0
المراسم الدينيّة	المراسم الدينيّة	1.0
استخدام ضوء ساطع في تحفيز الذرات	ضوء ساطع	0.5
النرويج	نرويجي	0
حوالي القرن الخامس عشر	القرن الخامس عشر	0.8571428571428571
الأبجدية الألمانية	ألمانيا	0
 الهانجول 	الهانجول	1.0
الغاز	الغاز	1.0
النّفط	الاقتصاد غير الرسمي	0
ذرتين هيدروجين وذرة أكسجين	ذرتين هيدروجين وذرة أكسجين	1.0
حالته الكيميائية	الجزيئات	0
مقلوباً	مقلوباً	1.0
هجين أوركيد	عبارة عن هجين أوركيد	0.6666666666666666
بريطانيا	بريطانيا	1.0
عملية أسد البحر 	عملية أسد البحر	1.0
يحكم فرنسا ""فيشي	فيشي	0.5
الأمريكيون والقوات الفرنسية الحرة	الأمريكيون والقوات الفرنسية الحرة	1.0
الرادار	الرادار	1.0
الرّماية	الحرب العالميّة الأولى والثّانية	0
 أسر البريطانيون كبير مهندسي الجيش الإيطالي العاشر	قُتل	0
في طبرق	بنيران صديقة	0
جاي شانكار شودري	لاكها سينغ	0
غنت المغنية التركية ""سيزين أكسو"" مع الإيطالي ""أليساندرو سافينا"" والمغني اليوناني ""هاريس أليكسيو""	طروادة	0
الإيطالي	الإيطالي	1.0
في تونغا	تونغا	0.6666666666666666
عندما قلل السرعة إلى 160 كيلومتر في ساعة	درجة انخفاض ""البلاك بيوتي"".	0
حوالي 65 كم (40 ميلاً) جنوب بوتي	جنوب	0.25
اشتعلت النيران في سجن أبو غريب	اشتعلت النيران	0.5
بعد اكتشاف إساءة معاملة السجناء	إساءة معاملة السجناء به	0.6666666666666665
المتظاهرين	المتظاهرين في الجنوب	0.5
سكان مدينة ""بشكيك""	العديد من سكان مدينة ""بشكيك""	0.7499999999999999
في عام 2013	2013	0.5
عندما لم يكن جرس بابه مسموعاً من متجره ف مرآب منزله	2013	0
كتب	توصيات عن كتب يجب على الأطفال أن يبحثوا عنها عندما يتوجه كل منهم إلى المكتبة	0.125
أزمة التمويل والتحول في فلسفة البرامج التلفزيونية التعليمية	أزمة التمويل والتحول في فلسفة البرامج التلفزيونية التعليمية	1.0
الحكومة البولندية 	بولندا	0
أربعة	أربعة	1.0
 Apple 	وزارة الاقتصاد، والتجارة، والصناعة اليابانية	0
الهاتف	سنصنع التاريخ اليوم	0
اختراع الهاتف	ستعيد شركة أبل اختراع الهاتف، سنصنع التاريخ اليوم	0.2
عزمها الترشح للرئاسة	عزمها الترشح للرئاسة	1.0
في لابلاتا	لابلاتا	0.6666666666666666
لم ينتهك أياً من قوانين الرقابة على المحتوى عبر الإنترنت	وجدت هيئة الاتصالات والإعلام الأسترالية أنه على الرغم من أنه تم بث الفيديو على الإنترنت	0.24
يجب أن يكون موجوداً على الخادم بشكل ملموس	يجب أن يكون موجوداً على الخادم بشكل ملموس	1.0
جون هاوارد	بيتر كوستيلو	0
ماسيج كريزيل	ماسيج كريزيل	1.0
فنلندا	فنلندا	1.0
53	53	1.0
مانشستر سيتي	بالميراس	0
جاك ليتون	جاك ليتون	1.0
حكومة الولاية وبعض النواب الفيدراليين	جون هوارد	0
بلورات	بلورات	1.0
بلورات تتشكل في بول القطط	بلورات تتشكل في بول القطط	1.0
تومي دريمر	تومي دريمر	1.0
داستن ""جولدست"" رانلز	تومي دريمر	0
تجنب الطريق القديم الذي يقوم على مبدأ أن تلوث أولاً ثم تنظف لاحقاً	تجنب الطريق القديم الذي يقوم على مبدأ أن تلوث أولاً ثم تنظف لاحقاً	1.0
إيد ديفي 	إيد ديفي	1.0
نورمان لامب 	نورمان لامب	1.0
يدخن الفنانون لفائف القنب 	يدخن الفنانون لفائف القنب	1.0
الفنانون	الفنانون	1.0
نشاط مأهول خارج المركبة ( EVA )	EVA	0.33333333333333337
أبولو سويوز	أبولو سويوز	1.0
الليبرالي	المحافظين الماليين	0
أمها 	طبيبةً قد عملت في مستشفى الأطفال في بيتسبرغ في ولاية بنسلفانيا، ستتهمُ بجريمةِ القتل المتعمد	0
في صندوق سيارتها	بلو آش، أوهايو	0
سكايب	سكايب	1.0
تنويع مصادر ربحها واكتساب شعبية في المناطق التي يحتل فيها سكايب مكانة قوية	تنويع مصادر ربحها	0.375
الاعتماد على النفط	الاعتماد على النفط	1.0
 ويضعون ورقة مطبوعة بشكل مسبق مشيرة إلى مرشحهم المفضل في ظرف	ظرف	0.16666666666666669
اهتمامه بالحرب الذي استمر طوال حياته	اهتمامه بالحرب	0.5
معدل الوفيات المرتفع جداً	شكل البكتيريا المتغير الجديد	0
اثنين	اثنين	1.0
 مرتبطة بالأقمار الاصطناعية 	بالأقمار الاصطناعية	0.8
بتحديد مكان طائرة بدقة أعلى	للسماح للمراقبين الجويين بتحديد مكان طائرة بدقة أعلى وتزود الطيارين بمعلومات محددة أكثر	0.5555555555555556
يخصص 10 عملاء للمواد الإباحية للبالغين	يخصص 10 عملاء للمواد الإباحية للبالغين	1.0
انقلاب	انقلاب	1.0
 أمام الرحلات الجوية التجارية	الرحلات الجوية التجارية	0.8571428571428571
كارتر	كارتر	1.0
لهنري كيسنجر	بريجنسكي	0
مخلبه الثاني كان أكبر	المخلب الغربي	0
الستينيات	1973	0
في ساحة القديس بطرس.	ساحة القديس بطرس	0.8571428571428571
في ساحة القديس بطرس.	روما	0
 '' أوكا '' '' 	كريستوفر شنايدر	0
9000	9000	1.0
14.7 مليار دولار أمريكي	14.7	0.4
البلد السابع	السابع	0.6666666666666666
في مستنقعات بالقرب من ليون في شرق فرنسا.	شرق فرنسا	0.4
منذ القرن التاسع عشر	القرن التاسع عشر	0.8571428571428571
مُعسكر القوات	معسكر الأمم المتّحدة	0
المخدرات 	الشرعية المؤقّتة للمواد المتعلقة	0
التعدّي على ممتلكات الغيْر	التعدّي على ممتلكات الغيْر	1.0
لم يمسس اللافتة ضرر	استخدم تربولين أسود	0
إلى الجمعية الوطنية	نوفمبر	0
هطلت الأمطار	بدأت الرياح في الدخول	0
ثالث أكبر إعصار تم تسجيله 	ثالث	0.33333333333333337
الشمال الغربي.	الشمال الغربي	1.0
لأجهزة راديو مزدوجة 	امتلاك المحطة الأساسية لأجهزة راديو مزدوجة	0.6666666666666666
100 م و 200 م أسلوب حر وفي ثلاث مراحل	ثلاث مراحل	0.33333333333333337
استخدامها ممنوع في الألعاب	لم يستطع تناول الأدوية اللازمة للتغلّب على الألم إذ أن استخدامها ممنوع في الألعاب	0.4444444444444445
لقاح التهاب الدماغ،	توزع آلاف من ستائر البعوض وأن ترش مبيدات حشرية	0
من خلال الخنازير،	البعوض	0
منع الاتحادات المدنية لشخصين من نفس الجنس	الباب للاتحادات المدنية في المستقبل	0.16666666666666666
 للصحافة 	ربيع عام 2016.	0
للو بيكولو	للو بيكولو	1.0
في نيبال	نيبال	0.6666666666666666
كلب مسعور	قراصنة، وهوجم في التبت من قبل كلب مسعور	0.4
مباشرةً بعد التوقف للصيانة	بعد التوقف للصيانة	0.8571428571428571
 بسبب تضرر نظام التعليق	تضرر نظام التعليق	0.8571428571428571
جلسة استماع	وكيل المحكمة جلسة استماع	0.6666666666666666
هؤلاء الوكلاء	عملاء سياسيين	0
ممثلة	أفضل ممثل وممثلة	0
هيئة الإسكان 	هيئة الإسكان	1.0
بوير	هاملين	0
2,220	2250	0
جرى التحقق من أن أصل حوالي 34 فقط	مادة مريخية مؤكدة كيميائيًا	0
في عام2006	2006	0
خلال سباق جائزة المجر الكبرى عام 2009.	2009.	0.25
جميع أصوات مندوبيها الخمسين	جميع أصوات مندوبيها الخمسين	1.0
المعلومات	استكشاف وجمع المعلومات	0.5
قارب	قارب	1.0
أربع	45 من إجمالي 117	0
في عام 2007	2007.	0.5
الولايات المتحدة	الولايات المتحدة	1.0
الاقتصاد	بالاقتصاد	0
برنامج الصيد التابع للجمعية	الصيد	0.4
التلويح بالجهاز في الهواء	التلويح بالجهاز في الهواء	1.0
 نظام التحكم	نينتندو الثوري	0
اللجنة -التي لم تتمكن من الوصول مباشرة إلى بوب ديلان بشأن الفوز بجائزة نوبل في الأدب لعام 2016	تخلت عن جهودها للوصول إليه	0
بوب ديلان	بوب ديلان	1.0
جوردون جوندرو	جوردون جوندرو	1.0
أكثر من 1,000	1,000	0.5
 عطل كهربائي	عطل كهربائي	1.0
20 قدماً	20 قدماً	1.0
فيضاناً	شهد فيضاناً	0.6666666666666666
كيفية تشكل الكواكب، وعلى الأخص كيف تشكلت الأرض	كيفية تشكل الكواكب	0.36363636363636365
التقاط صور لحاجز الشرطة	التقاط صور لحاجز الشرطة	1.0
240 كيلومتراً في الساعة (149 ميلاً في الساعة)	83 كم/ساعة	0
بعد توقف فيرناندو ألونسو المبكر	2008	0
المدينة	بين يونيو وأغسطس من هذا العام	0
الحادث	حادثاً خطيراً	0
الطائرة	مكوناً رئيسياً لكل من الجيشين الروسي والسوفيتي منذ سبعينيات القرن العشرين	0
إناث وذكور	إناث وذكور	1.0
محور النورة	محوراً متطوراً بالكامل	0
في البلدان ذوات الدخل المنخفض	الكشف المبكر للسرطان والسل وفيروس العوز المناعي البشري والملاريا في البلدان ذوات الدخل المنخفض	0.5263157894736842
طابعات نفاثة للحبر	طابعات نفاثة للحبر قياسية	0.8571428571428571
الظروف الجوية القاسية	الجليد	0
متى يعتقد أن تبدأ الحياة	متى يعتقد أن تبدأ الحياة	1.0
التعليق على تفاصيل الحالات المحتملة	متى يعتقد أن تبدأ الحياة	0
نحو السماء 	السماء	0.6666666666666666
التغيرات في درجات الحرارة	تظهر صور الأشعة تحت الحمراء	0
صور الأشعة تحت الحمراء	الأشعة تحت الحمراء	0.8571428571428571
أنه من مجموعة الإيغور العرقية	ولم تعرف السلطات اسمه حتى الآن، بالرغم من أنهم يعرفون أنه من مجموعة الإيغور العرقية	0.5
منتخب جنوب أفريقيا للرغبي أستراليا	أستراليا	0.33333333333333337
جوهانسبرغ	الأسبوع القادم	0
49	49	1.0
بولونياا	بولونيا	0
مباراة تقرر إقامتها يوم الأحد	قبل مباراة تقرر إقامتها يوم الأحد ضد بولونيا	0.7692307692307693
29%	29%	1.0
في نهاية عهد الملكة إليزابيث الثانية	نهاية عهد الملكة إليزابيث الثانية	0.9090909090909091
تنظيم الأبوة	مؤسسة كومن	0
للجنة الفرعية للرقابة والتحقيقات	لجنة الفرعية للرقابة والتحقيقات	0.75
أسوس	أسوس	1.0
أجهزة الحاسوب المحمولة	أجهزة الحاسوب	0.8
الصبي	الصبي	1.0
في هذه المرحلة	المجموعة الثانية	0
خسر موراي	خسر موراي المجموعة الأولى	0.6666666666666666
أطفال	أطفال في سن المدرسة	0.4
ذي أنيون	ذي أنيون	1.0
عند الساعة 11:20	11:20	0.5
سوء الأحوال الجوية	سوء الأحوال الجوية	1.0
العاصفة بعيدة عن اليابسة	العاصفة بعيدة عن اليابسة فلا يمكن تقييم مدى وقع التأثير المحتمل على الولايات المتحدة أو جزر الكاريبي	0.38095238095238093
نائب رئيس الوزراء السنغافوري وونغ كان سينغ	وونغ كان سينغ	0.6
بعد أسبوعٍ من الخسائر في انتخابات التجديد النصفي	بعد أسبوعٍ من الخسائر في انتخابات التجديد النصفي	1.0
تمويل عربات قطار إضافية	تمديد التزام الحكومة الذي وعدت به في مارس هذا العام بتمويل عربات قطار إضافية	0.3333333333333333
لجنة رئاسية	لجنة رئاسية	1.0
جعل رياضة الجمباز وغيرها، آمنةً قدر الإمكان	جعل رياضة الجمباز وغيرها، آمنةً قدر الإمكان للرياضيين	0.9333333333333333
بالاوان	بويرتو برنسيسا في بالاوان	0.4
السكرتير الصحفي	دونالد ترامب	0
تركيا	تركيا	1.0
نيران عدائية	لنيران عدائية	0.5
الجبلية	الجبلية	1.0
استعادة قضبان الرمال المتآكلة	استعادة قضبان الرمال المتآكلة في اتجاه مجرى النهر	0.6666666666666666
7	7 تسديدات	0.6666666666666666
بعد كونه جزءاً في حادث	13	0
متسابق	زميله	0
الخوف الذي ينبع من المجهول أو من عدم السيطرة	التغلب على الخوف الذي ينبع من المجهول أو من عدم السيطرة	0.9
إرسال أمتعة	لا تسمح القوانين الداخلية لشركات الطيران بإرسال أمتعة بلا راكب	0.16666666666666669
شرب المشروبات الروحية باعتدال	بالكبد	0
حي القناة	حي القناة	1.0
لقيمتها الثقافية والتاريخية الفريدة	قيمتها الثقافية والتاريخية الفريدة	0.75
الداخل	شبه الجزيرة، والجزر، وبحر روس	0
في المناطق النائيّة	المدن أو حرم الجامعات	0
شواطئ نورث شور	أوكلاند	0
لأنها وبموجب القانون تعتبر اللغة الرسمية الأولى	لأنها وبموجب القانون تعتبر اللغة الرسمية الأولى	1.0
الأشخاص الذين يعملون في قطاع الدواجن	مراقبي الطيور	0
المحيط المتجمد الشمالي ببحر البلطيق	بحر البلطيق	0.28571428571428575
الكرز والبرقوق	التفاح	0
البرتغاليون	البرتغاليون	1.0
جمهورية جديدة	أُنشئت جمهورية جديدة	0.8
السجال الدبلوماسي	السجال الدبلوماسي حول المنطقة	0.6666666666666666
وجودِ أكثر من مسافرين	في حالة وجودِ أكثر من مسافرين	0.8
 الإنكا	الإنكا	1.0
الطرق والقطارات والقوارب	الطرق والقطارات	0.8
ريوماغيوري ومانارولا وكورنيغليا وفيرنازا ومونتيروسو	خمسة أراضي	0
إعادة التكيف مع ثقافتهم الأصلية	إعادة التكيف مع ثقافتهم الأصلية	1.0
النرويجيين	النرويجيين	1.0
لبطاقة الإقامة الأمريكية الدائمة	جواز السفر	0
قد يكون بعضها مقلدة	قد يكون بعضها مقلدة، وقد تكون المنتجات المستوردة الحقيقية أغلى منها في موطنها	0.3529411764705882
في الجزر النائية	الجزر النائية	0.8
مهرجانات معبد كيرالا	معبد كيرالا	0.8
فرن ميكروويف	فرن ميكروويف	1.0
إن لم يكن لديك اتصال بالإنترنت في هاتفك، أو عندما يكون خارج النطاق	للتنقل في بلدٍ غير بلدك	0.1111111111111111
التلويح	التلويح	1.0
مقاطعة شمال ""كيفو""	غوما	0
تقتصر التصاريح	تقتصر التصاريح على حماية الوادي، وتكون متاحة في اليوم الأول من الشهر، قبل أربعة أشهر من شهر البدء	0.19999999999999998
غالباً ما تكون مغطاة بالخلنج	المستنقعات الخالية من الأشجار التي غالباً ما تكون مغطاة بالخلنج	0.6666666666666666
خلال الشتاء	الشتاء	0.6666666666666666
تضع إشعارات تعرض فيها مساعدتك، وتسير على الأرصفة للتواصل مع من يُنظفون يخوتهم أو مع البحارة في الحانة وغيرهم	ستضع إشعارات تعرض فيها مساعدتك	0.25
هذا	جزيرة هونج كونج	0
كولون البحرية في الجهة المقابلة	جزيرة هونج كونج	0
قضبان أمان	قضبان أمان	1.0
الكعب والنعل الناعم الضيق للغاية	الاستقرار	0
قائمة بالمستضيفين المتوفيين	قائمة بالمستضيفين المتوفيين	1.0
ضيفها المعتاد في العشرينيات من عمره	الشباب	0
الإنترنت	شراء رقم عالمي بشكل منفصل	0
أزهار الكرز	مشاهدة أزهار الكرز	0.8
الإمبراطور	الإمبراطور	1.0
إذا أحضرتِ الملحفة الخاصة بك، وخاصةً ذات الألوان الزاهية	إذا أحضرتِ الملحفة الخاصة بك، وخاصةً ذات الألوان الزاهية	1.0
في الشتاء	الشتاء	0.6666666666666666
في المواقع البعيدة، مع غياب تغطية الهاتف الخلوي	في المواقع البعيدة، مع غياب تغطية الهاتف الخلوي	1.0
التخييم في الموقع	التخييم في الموقع	1.0
عصائر الفاكهة	عصائر الفاكهة	1.0
الإسبان	الإسبان	1.0
أكثر راحة وأقل ازدحامًا	دائماً في نهاية القطار الأقرب لمدينة كيب تاون	0
متجر بقالة	متجر بقالة	1.0
عن طريق رقم هاتف مجاني	رقم هاتف مجاني	0.7499999999999999
فحص الهجرة	فحص الهجرة	1.0
سكاي تيم	سكاي تيم	1.0
جو راننج تورز	جو راننج تورز	1.0
استعمال المنظار	المنظار	0.6666666666666666
الفيلة والزراف	الفيلة والزراف	1.0
تنزيل بيانات اللغة التي تريدها	Google	0
الزبادي	حليب جوز الهند	0
هؤلاء ليسوا خفيفين جدًا	هؤلاء ليسوا خفيفين جدًا	1.0
شقوق	معبر القطب الجنوبي	0
في باحة الكنيسة	باحة الكنيسة	0.8
تأشيرات الطلاب	تأشيرات الطلاب	1.0
كطالب دولي	طالب دولي	0.5
في الصيف	الصيف	0.6666666666666666
منتزه سونداربانس الوطني	منتزه سونداربانس الوطني	1.0
شراء التذاكر مسبقاً قبل بضعة أيام	شراء التذاكر مسبقاً قبل بضعة أيام	1.0
تموز عام 2020	1964	0
المناخات الحارة	الحارة	0.6666666666666666
الثروات	الرأس والكتفين	0
تعلنن إنهن متزوجات	ينبغي على النساء المسافرات أن تعلنن إنهن متزوجات	0.5454545454545454
العاثيات	فوسفور مشع أو بروتينها بكبريت مشع	0
العرض	العرض	1.0
شركة إدارة الفرقة	لم تُوضح شركة إدارة الفرقة "HK Management Inc."	0.5454545454545454
جبسون	سائق الشاحنة	0
نُقل "جبسون" إلى المستشفى، لكنه توفي بعدها بفترة قصيرة. لم يُصب سائق الشاحنة	نُقل "جبسون" إلى المستشفى، لكنه توفي بعدها بفترة قصيرة	0.8181818181818181
ولم ترد أخبار عن وقوع أي إصابات كبيرة	خمسة أشخاص	0
أحد الجيران	أحد الجيران	1.0
ما يكفي من التباس في الدستور الأفغاني	عثروا على ما يكفي من التباس في الدستور الأفغاني	0.8750000000000001
ضابطين	ضابطين من الشرطة وإصابة أكثر من عشرين آخرين بجروح. وقال مكتب المحافظ أن ١٩	0.13333333333333333
الشرطة	مكتب المحافظ	0
توجي نت راديو	موقع راديو الإنترنت	0.3333333333333333
غريب الأطوار	مسرح إذاعي على الطريقة القديمة، بانعطاف غريب الأطوار، جديد وصارخ	0.16666666666666669
نيكلاس باكستروم	نيكلاس باكستروم	1.0
أليكس أوفيتشكين	أليكس أوفيتشكين	1.0
لإغلاق	لم نتلق أي أخبار عن تأخر حركة المرور المؤدية لطريق المدينة البديل	0
سايمون	بروكس وكرونينغ	0
الزلزال لم يستوف متطلبات 6.5 درجة	الزلزال لم يستوف متطلبات 6.5 درجة	1.0
الضيائيّة والدوران	الضيائيّة والدوران	1.0
